Date (Calendar),Day,Month,Quarter,Y_Select Date,Year,Year(Date)
12/2/2020,Wed,Dec,Qtr 4,True,2020,2020
1/4/2019,Fri,Jan,Qtr 1,True,2019,2019
5/19/2019,Sun,May,Qtr 2,True,2019,2019
1/25/2020,Sat,Jan,Qtr 1,True,2020,2020
5/18/2019,Sat,May,Qtr 2,True,2019,2019
10/24/2018,Wed,Oct,Qtr 4,True,2018,2018
4/29/2018,Sun,Apr,Qtr 2,True,2018,2018
10/2/2020,Fri,Oct,Qtr 4,True,2020,2020
3/9/2020,Mon,Mar,Qtr 1,True,2020,2020
4/13/2020,Mon,Apr,Qtr 2,True,2020,2020
6/15/2018,Fri,Jun,Qtr 2,True,2018,2018
9/11/2020,Fri,Sep,Qtr 3,True,2020,2020
3/15/2019,Fri,Mar,Qtr 1,True,2019,2019
5/23/2018,Wed,May,Qtr 2,True,2018,2018
10/26/2018,Fri,Oct,Qtr 4,True,2018,2018
4/26/2019,Fri,Apr,Qtr 2,True,2019,2019
6/26/2019,Wed,Jun,Qtr 2,True,2019,2019
11/30/2020,Mon,Nov,Qtr 4,True,2020,2020
8/26/2020,Wed,Aug,Qtr 3,True,2020,2020
7/8/2020,Wed,Jul,Qtr 3,True,2020,2020
4/6/2018,Fri,Apr,Qtr 2,True,2018,2018
11/22/2020,Sun,Nov,Qtr 4,True,2020,2020
5/1/2019,Wed,May,Qtr 2,True,2019,2019
12/15/2018,Sat,Dec,Qtr 4,True,2018,2018
8/4/2019,Sun,Aug,Qtr 3,True,2019,2019
10/9/2018,Tue,Oct,Qtr 4,True,2018,2018
9/15/2019,Sun,Sep,Qtr 3,True,2019,2019
1/22/2020,Wed,Jan,Qtr 1,True,2020,2020
4/24/2018,Tue,Apr,Qtr 2,True,2018,2018
2/6/2020,Thu,Feb,Qtr 1,True,2020,2020
9/12/2018,Wed,Sep,Qtr 3,True,2018,2018
5/25/2019,Sat,May,Qtr 2,True,2019,2019
4/5/2020,Sun,Apr,Qtr 2,True,2020,2020
12/3/2019,Tue,Dec,Qtr 4,True,2019,2019
10/12/2018,Fri,Oct,Qtr 4,True,2018,2018
3/20/2019,Wed,Mar,Qtr 1,True,2019,2019
6/13/2020,Sat,Jun,Qtr 2,True,2020,2020
10/31/2019,Thu,Oct,Qtr 4,True,2019,2019
8/31/2020,Mon,Aug,Qtr 3,True,2020,2020
9/28/2020,Mon,Sep,Qtr 3,True,2020,2020
6/22/2019,Sat,Jun,Qtr 2,True,2019,2019
9/25/2019,Wed,Sep,Qtr 3,True,2019,2019
6/1/2018,Fri,Jun,Qtr 2,True,2018,2018
8/30/2018,Thu,Aug,Qtr 3,True,2018,2018
4/23/2018,Mon,Apr,Qtr 2,True,2018,2018
8/19/2019,Mon,Aug,Qtr 3,True,2019,2019
3/6/2020,Fri,Mar,Qtr 1,True,2020,2020
4/20/2020,Mon,Apr,Qtr 2,True,2020,2020
2/15/2019,Fri,Feb,Qtr 1,True,2019,2019
12/6/2018,Thu,Dec,Qtr 4,True,2018,2018
6/30/2019,Sun,Jun,Qtr 2,True,2019,2019
10/5/2018,Fri,Oct,Qtr 4,True,2018,2018
